Datetime,Screen Name,Name,text_clean,text_preprocessed,sentiment
2022-05-28 16:44:16+00:00,rawwzerr,ranniel feel so blue rn,sama kakak bntr lagi sendiri karna kakak akan kuliah offline ke semarangâ˜ðŸ»,"['kakak', 'bntr', 'karna', 'kakak', 'kuliah', 'offline', 'semarang']",positive
2022-05-28 16:43:56+00:00,kimjunkapass1,Ay/Pacar Mas Jeman,aku pernah  thn lalu waktu kuliah masih offline aku pulang dr  kosan temen krn harus nunggu di jemput kakak pulanâ€¦,"['thn', 'kuliah', 'offline', 'pulang', 'dr', 'kosan', 'temen', 'krn', 'nunggu', 'jemput', 'kakak', 'pulan']",negative
2022-05-28 16:39:07+00:00,okokeyoke,Rahmadhani Diah N,kalau mbkm keknya offline juga nder kalau di kampusku bisa izin kompensasi bagi yg mbkm sedangkanâ€¦,"['mbkm', 'kek', 'offline', 'nder', 'kampus', 'izin', 'kompensasi', 'yg', 'mbkm', 'sedang']",positive
2022-05-28 16:35:20+00:00,soupwahh,jungkyu,udah nemenin masa masa online akuu mulai dari kelas  sampai sekarang udah kuliah danâ€¦,"['udah', 'nemenin', 'online', 'akuu', 'kelas', 'udah', 'kuliah', 'dan']",
2022-05-28 16:33:07+00:00,collegemenfess,COLLE FORGER,utk hadirin kuliah offline,"['utk', 'hadirin', 'kuliah', 'offline']",positive
2022-05-28 16:33:07+00:00,collegemenfess,COLLE FORGER,cm sehubungan rencana kuliah offline  berhembus dari dikbud di sem depan kira kira program mbkm masih buka gâ€¦,"['cm', 'hubung', 'rencana', 'kuliah', 'offline', 'hembus', 'dikbud', 'sem', 'program', 'mbkm', 'buka', 'g']",positive
2022-05-28 16:08:11+00:00,lastwall22,masihsama,asrama putri sudah buka nder kuliah udh offline,"['asrama', 'putri', 'buka', 'nder', 'kuliah', 'udh', 'offline']",positive
2022-05-28 16:06:16+00:00,flaneuer,Ù‹,ya allah jgn kuliah offline dlu smpai hamba sdh wisuda ya allah tlong bgt ini mah,"['ya', 'allah', 'jgn', 'kuliah', 'offline', 'dlu', 'smpai', 'hamba', 'sdh', 'wisuda', 'ya', 'allah', 'tlong', 'bgt', 'mah']",negative
2022-05-28 16:05:38+00:00,panggilajavyn,vyn â˜ºï¸Ž,jauh  senin aku kuliah offline ðŸ˜­,"['senin', 'kuliah', 'offline', '']",negative
2022-05-28 16:05:37+00:00,icelemonte4,Citra Pradana,jujur cape bgt kuliah offline ya allah tp harus ttp semangatðŸ˜£,"['jujur', 'cape', 'bgt', 'kuliah', 'offline', 'ya', 'allah', 'tp', 'ttp', 'semangat']",negative
2022-05-28 15:48:37+00:00,crepesblueberry,Jee ðŸ‘©â€ðŸ¦°,kuliah udh mulai offline kok malah breakout ini muka ðŸ˜­,"['kuliah', 'udh', 'offline', 'breakout', 'muka', '']",negative
2022-05-28 15:44:52+00:00,gasukajahe,a,temen jga ga seberapa banyak dan mereka jga pada sibuk masing apalagi sekarang kuliah dah mulai offlinâ€¦,"['temen', 'jga', 'ga', 'jga', 'sibuk', 'kuliah', 'dah', 'offlin']",negative
2022-05-28 15:37:25+00:00,ReikazuRei,Rei (semi ia College),walau gk disebut maaf klo jauh ini offline dan ia kuliah bikin pusing wkwkwk,"['gk', 'maaf', 'klo', 'offline', 'kuliah', 'bikin', 'pusing', 'wkwkwk']",negative
2022-05-28 15:35:44+00:00,okenicetry,okenicetry,akhir ini feeling so much mood sih cape juga ya ternyata apalagi skrng udah kuliah offline makin banyak energiâ€¦,"['feeling', 'so', 'much', 'mood', 'sih', 'cape', 'ya', 'skrng', 'udah', 'kuliah', 'offline', 'energi']",negative
2022-05-28 15:30:38+00:00,fakyuolleeyy,gwenðŸ§šðŸ¼â€â™€ï¸,orang orang pada â€œbentar lagi kuliah offline â€ meanwhile me â€œanjing gue semangat banget mau offline finally im so happy fakkðŸ˜­ðŸ˜­ðŸ˜­ðŸ¥¹â€,"['orang', 'orang', '', 'bentar', 'kuliah', 'offline', '', 'meanwhile', 'me', '', 'anjing', 'gue', 'semangat', 'banget', 'offline', 'finally', 'im', 'so', 'happy', 'fakk', '']",positive
2022-05-28 15:17:43+00:00,sunwooyupi,sekaar,baik gini ajasih udh kuliah offline lebih seruuw,"['gin', 'ajasih', 'udh', 'kuliah', 'offline', 'seruuw']",positive
2022-05-28 15:06:58+00:00,amourfath,adin,dikasih kuliah offline seminggu lgsg ngedrop dikasih mabora pulang subuh bangun pagi kelas onlen sehat wal afiat,"['kasih', 'kuliah', 'offline', 'minggu', 'lgsg', 'ngedrop', 'kasih', 'mabora', 'pulang', 'subuh', 'bangun', 'pagi', 'kelas', 'onlen', 'sehat', 'wal', 'afiat']",negative
2022-05-28 15:04:57+00:00,putmyeon_,Putttá´¸ðŸ°ðŸ¦Š,bau mulai kuliah pakar offlineðŸ˜«,"['bau', 'kuliah', 'pakar', 'offline']",negative
2022-05-28 14:59:53+00:00,collegemenfess,COLLE FORGER,kuliah offline pake slip on boleh ga si gais cm,"['kuliah', 'offline', 'pake', 'slip', 'on', 'ga', 'si', 'gais', 'cm']",positive
2022-05-28 14:42:52+00:00,littlemarks3,littlemarks,sumpah gw cape bgt setiap kali mau kuliah offline tiba tiba takut berlebihan panik attack ðŸ˜«ðŸ˜¤,"['sumpah', 'gw', 'cape', 'bgt', 'kali', 'kuliah', 'offline', 'takut', 'panik', 'attack', '']",negative
2022-05-28 14:31:07+00:00,inyoureyesbabe,fi,ngekos kalo kuliah offline capek banget nder bolakbalik kasian badanmu walaupun mungkin lebih bâ€¦,"['ngekos', 'kalo', 'kuliah', 'offline', 'capek', 'banget', 'nder', 'bolakbalik', 'kasi', 'badan', 'b']",negative
2022-05-28 14:30:40+00:00,Askrlfess,Askrlfess,askrl kuliah offline pake slip on yay  nay sopan gak ya,"['askrl', 'kuliah', 'offline', 'pake', 'slip', 'on', 'yay', 'nay', 'sopan', 'gak', 'ya']",positive
2022-05-28 14:29:48+00:00,bbysagwa,nrl ðŸœ² | slow ðŸ´â€â˜ ï¸,udah mau masuk  minggu kuliah offline jadi slow bgt kapan aku mampir lagiðŸ™ðŸ™,"['udah', 'masuk', 'minggu', 'kuliah', 'offline', 'slow', 'bgt', 'mampir', 'lagi']",negative
2022-05-28 14:22:21+00:00,akunJeriJK,AkunJeri,kek ga mungkin aja kuliah dd okelah online mngkin bisa makek  device tapi pas offline kuliah kuâ€¦,"['kek', 'ga', 'aja', 'kuliah', 'dd', 'oke', 'online', 'mngkin', 'makek', 'device', 'pas', 'offline', 'kuliah', 'ku']",negative
2022-05-28 14:17:52+00:00,sungjinnie_,zae,offline sih pasti soalnya dr awal smt  kuliah pun udh offline,"['offline', 'sih', 'dr', 'smt', 'kuliah', 'udh', 'offline']",positive
2022-05-28 14:15:01+00:00,airlanggafess,UNAIR MENFESS,rek ada yang punya contact supplier tahu bakso or piscok gaa buat danusan di uner  mumpung kuliah offline hihi adâ€¦,"['rek', 'contact', 'supplier', 'bakso', 'or', 'piscok', 'gaa', 'danusan', 'uner', 'mumpung', 'kuliah', 'offline', 'hihi', 'ad']",positive
2022-05-28 14:13:16+00:00,ssefnum,Beyi jaga munfessðŸ“,rl guys biar kebiasa naik turun tangga gak ngos ngosan tuh gimana ya mau persiapan kuliah offline semester depaâ€¦,"['rl', 'guys', 'biar', 'biasa', 'turun', 'tangga', 'gak', 'ngos', 'ngosan', 'tuh', 'gimana', 'ya', 'siap', 'kuliah', 'offline', 'semester', 'depa']",negative
2022-05-28 14:09:31+00:00,jxxrra223,arayaa,selama kuliah ngang ngong ngang ngong tibaÂ² uas offline duarrr rasanyaa mantap sekaliii ðŸ™‚,"['kuliah', 'ngang', 'ngong', 'ngang', 'ngong', 'tiba', 'uas', 'offline', 'duarrr', 'rasanyaa', 'mantap', 'sekaliii', '']",negative
2022-05-28 14:09:08+00:00,midnitecoffey,tsab.,baru lihat postan jktinfo situasi manggarai rute baru anjirr lah takut bngt ntarr kalo gua kuliah offline gimana yâ€¦,"['lihat', 'postan', 'jktinfo', 'situasi', 'manggarai', 'rute', 'anjirr', 'takut', 'bngt', 'ntarr', 'kalo', 'gua', 'kuliah', 'offline', 'gimana', 'y']",negative
2022-05-28 14:06:15+00:00,collegemenfess,COLLE FORGER,cm aku mau prepare buat kuliah offline bentar lagi ke malang dari jakarta disana ga ada siapa kalau aku bookinâ€¦,"['cm', 'prepare', 'kuliah', 'offline', 'bentar', 'malang', 'jakarta', 'sana', 'ga', 'bookin']",negative
2022-05-28 14:04:01+00:00,sugardarl,Ur gerlfrens,mjb kak kalau misalnya skrg smt  mau ikut itu bakal keteteran gak sih apalagi bakalan kuliah offline,"['mjb', 'kak', 'skrg', 'smt', 'keteter', 'gak', 'sih', 'kuliah', 'offline']",negative
2022-05-28 14:00:48+00:00,selffffloveeeee,ð‘€ð’¶ð“‡ð“ˆð’½ð’¶ð’¶ð’¶,bikin sec acc ig buat post poto dumb pas kuliah offlineâ˜ºï¸ðŸ‘,"['bikin', 'sec', 'acc', 'ig', 'post', 'poto', 'dumb', 'pas', 'kuliah', 'offline']",positive
2022-05-28 13:58:27+00:00,by_bluelea,Cean,min untuk kuliah mahasiswa baru per september  nanti kuliahnya online atau sudah offline ya,"['min', 'kuliah', 'mahasiswa', 'september', 'kuliah', 'online', 'offline', 'ya']",positive
2022-05-28 13:52:33+00:00,haloguggel,No name,pernahnya grab dl jaman kuliah offline pernah ngegrab sekali tp mlh jd dichatin terus gt sm masnya sampe diteror ke wa,"['pernah', 'grab', 'dl', 'jaman', 'kuliah', 'offline', 'ngegrab', 'tp', 'mlh', 'jd', 'dichatin', 'gt', 'sm', 'mas', 'sampe', 'teror', 'wa']",negative
2022-05-28 13:48:15+00:00,hellopandann,yak,nih aku klo menang bigwin lg mau beli kemeja yg byk buat kuliah offlineðŸ˜­ðŸ˜­ðŸ™‚,"['nih', 'klo', 'menang', 'bigwin', 'lg', 'beli', 'kemeja', 'yg', 'byk', 'kuliah', 'offline']",positive
2022-05-28 13:40:49+00:00,althv30,viaâ· || PROOF IS COMING,mau kuliah offline degan bngt berasa maba,"['kuliah', 'offline', 'degan', 'bngt', 'asa', 'maba']",negative
2022-05-28 13:38:07+00:00,milkkywayss,salðŸ•Š kinda ia,oiya gw dah kuliah offline sialan,"['oiya', 'gw', 'dah', 'kuliah', 'offline', 'sial']",negative
2022-05-28 13:37:26+00:00,sunwuphile,caca ðŸŒ¼ðŸ¦‹,perkara mau kuliah offline ðŸ˜¿,"['perkara', 'kuliah', 'offline', '']",negative
2022-05-28 13:37:15+00:00,UPIfess,le ssefipu,upi apa aja yg boleh dan ga boleh dipake pas kuliah baju sepatu dll aku baru bgt september nanti offline takuâ€¦,"['upi', 'aja', 'yg', 'ga', 'dipake', 'pas', 'kuliah', 'baju', 'sepatu', 'dll', 'bgt', 'september', 'offline', 'taku']",negative
2022-05-28 13:24:44+00:00,navillery,Ù‹,walaupun cuma dua hari udah cukup mengobati kangennya suasana kuliah offline,"['udah', 'obat', 'kangen', 'suasana', 'kuliah', 'offline']",positive
2022-05-28 13:09:17+00:00,Eardht,...,seharian ketemu byk org jg bikin kepala sakit kalo dipikir makanya selama kuliah pas jaman offline gt kalo dah puâ€¦,"['hari', 'ketemu', 'byk', 'org', 'jg', 'bikin', 'kepala', 'sakit', 'kalo', 'pikir', 'kuliah', 'pas', 'jaman', 'offline', 'gt', 'kalo', 'dah', 'pu']",negative
2022-05-28 12:58:45+00:00,baiwinl0ves_,dillâ€™s | gie jadi budak kampoess,hay guysðŸ¥ºðŸ‘‹  krn aku udah mulai kuliah offline amp lagi banyak acara dr organisasi aku yg bener hectic banget ku iziâ€¦,"['hay', 'guys', 'krn', 'udah', 'kuliah', 'offline', 'amp', 'acara', 'dr', 'organisasi', 'yg', 'bener', 'hectic', 'banget', 'ku', 'izi']",negative
2022-05-28 12:50:39+00:00,Littlesh11tt,capa nieðŸ˜¡,heheheheeheh dah gajaman kuliah offline,"['heheheheeheh', 'dah', 'gajaman', 'kuliah', 'offline']",negative
2022-05-28 12:49:09+00:00,floweryrossie,ren || ðŸ¦‹,wtb gak ya tp mesti rest soalnya udh mau kuliah offline ðŸ« ðŸ« ðŸ« ,"['wtb', 'gak', 'ya', 'tp', 'mesti', 'rest', 'udh', 'kuliah', 'offline', '']",negative
2022-05-28 12:48:30+00:00,sunghoogn,Aryasena.,miss u too seru banget nih yang kuliah offline,"['miss', 'u', 'too', 'seru', 'banget', 'nih', 'kuliah', 'offline']",positive
2022-05-28 12:48:09+00:00,kaylomylo,ntun.,looking back at my kuliah offline days and i wonder anjir aku dulu kok bisa ya multitasking,"['looking', 'back', 'at', 'my', 'kuliah', 'offline', 'days', 'and', 'i', 'wonder', 'anjir', 'ya', 'multitasking']",negative
2022-05-28 12:29:59+00:00,naeniaa28,_,skrg kalo pengen ngeluh sama masalah atau apapun pasti mikir anjir gitu doang aja ngeluh ga inget dulu bisa kerjaâ€¦,"['skrg', 'kalo', 'ken', 'ngeluh', 'apa', 'mikir', 'anjir', 'gitu', 'doang', 'aja', 'ngeluh', 'ga', 'inget', 'kerja']",negative
2022-05-28 12:29:52+00:00,yeppeogurll_,ðŸ‘»,untuk admin goyg mau buat go aku mau nih jd admin rekapadmin chatadmin olshopadmin bantu nalangin bayaradminâ€¦,"['admin', 'goyg', 'go', 'nih', 'jd', 'admin', 'rekapadmin', 'chatadmin', 'olshopadmin', 'bantu', 'nalangin', 'bayaradmin']",negative
2022-05-28 12:27:14+00:00,sukakkonyol,Aaaaaa,kok kosan aku kalo jam kuliah rame tp satnight gini malah sepi pdhl kan kuliah dh offline jujur klian kmn semua,"['kosan', 'kalo', 'jam', 'kuliah', 'rame', 'tp', 'satnight', 'gin', 'sepi', 'pdhl', 'kuliah', 'dh', 'offline', 'jujur', 'klian', 'kmn']",positive
2022-05-28 12:27:01+00:00,chlorinesi,nesi,aaaaaa ëª»í•˜ê² ì–´ ini kalo kuliah offline masih ada paidpromote gini gaksihðŸ˜’ðŸ˜’ðŸ˜’ðŸ˜’ðŸ˜ž,"['aaaaaa', '', 'kalo', 'kuliah', 'offline', 'paidpromote', 'gin', 'gaksih']",negative
2022-05-28 12:20:07+00:00,barongbengkung,le tâ€™man,fess mpktb pas zaman offline adalah mata kuliah paling ngeselin lebih tepatnya dosennya cerewet banget setiaâ€¦,"['fess', 'mpktb', 'pas', 'zaman', 'offline', 'mata', 'kuliah', 'ngeselin', 'tepat', 'dosen', 'cerewet', 'banget', 'setia']",negative
2022-05-28 12:11:02+00:00,PrideFess,pridefess no18+|opendm,pf please notice me gua m  sekarang bener lagi bu untuk bayar kuliah dan kos semester depan karna  udh hâ€¦,"['pf', 'please', 'notice', 'me', 'gua', 'm', 'bener', 'bu', 'bayar', 'kuliah', 'kos', 'semester', 'karna', 'udh', 'h']",negative
2022-05-28 12:10:11+00:00,deluxescotch,ðŸ¥º,semoga cancel deh ga kuliah offline,"['moga', 'cancel', 'deh', 'ga', 'kuliah', 'offline']",negative
2022-05-28 12:04:40+00:00,taurus_girlll,Just call me dy,bntr lagi kuliah offline ðŸ‘ ini blum ditambah macet ini,"['bntr', 'kuliah', 'offline', '', 'blum', 'tambah', 'macet']",negative
2022-05-28 11:58:46+00:00,zavoryxd,ê—ƒâ„“Î¹Ñ‚Ñ”Ñ”â€¢fb,untung aja gue kuliah masi online coba kalo offline kan lumayan bgt dari rumah ke kampus pake ojol rbðŸ¥²,"['untung', 'aja', 'gue', 'kuliah', 'mas', 'online', 'coba', 'kalo', 'offline', 'lumayan', 'bgt', 'rumah', 'kampus', 'pake', 'ojol', 'rb']",negative
2022-05-28 11:58:04+00:00,beautiaf,Mumut. â˜½ â€” ðŸ“Œ GIVEAWAY SKINCARE,beli tas karena aku udah kuliah offline huf malah banyak pengeluaran kalo offlineðŸ¥¹,"['beli', 'tas', 'udah', 'kuliah', 'offline', 'huf', 'keluar', 'kalo', 'offline']",negative
2022-05-28 11:57:04+00:00,collegemenfess,COLLE FORGER,cm dikarenakan kampus sender senin mau offline dan itu first time sender ke kampus mau nanya kalau berpakaian khusus kuliah itu giman ya,"['cm', 'kampus', 'sender', 'senin', 'offline', 'first', 'time', 'sender', 'kampus', 'nanya', 'pakai', 'khusus', 'kuliah', 'gim', 'ya']",positive
2022-05-28 11:53:41+00:00,sharsyaap,sarchimðŸ¥// proof â€” yet to come,besok senin sm selasa gue kuliah offlineðŸ™ƒ,"['besok', 'senin', 'sm', 'selasa', 'gue', 'kuliah', 'offline']",negative
2022-05-28 11:50:14+00:00,awreeel,/aurel,tahun ini ospek kuliah offline apa masi online si takut bgt,"['ospek', 'kuliah', 'offline', 'mas', 'online', 'si', 'takut', 'bgt']",negative
2022-05-28 11:40:02+00:00,moonareas,rep /delvote to delete mfs,â˜ï¸ sebel bgt deh ortu gw ribut bener baru juga  minggu masuk kuliah offline nyuruh cepetcepet dapet banyak temenâ€¦,"['', 'sebel', 'bgt', 'deh', 'ortu', 'gw', 'ribut', 'bener', 'minggu', 'masuk', 'kuliah', 'offline', 'nyuruh', 'cepetcepet', 'dapet', 'temen']",negative
2022-05-28 11:29:31+00:00,unsrifess,UNSR! î¨€,unsr nak nanyo yg cewe biasonyo kalo kuliah offline pake sepatu atau flatshoes yg paling nyaman,"['unsr', 'nak', 'nanyo', 'yg', 'cewe', 'biasonyo', 'kalo', 'kuliah', 'offline', 'pake', 'sepatu', 'flatshoes', 'yg', 'nyaman']",positive
2022-05-28 11:28:28+00:00,woodyoo8,sirius âœ¨,seminggu kuliah offline ternyata ada enak ada ngga nyaðŸ˜­masih culture shock,"['minggu', 'kuliah', 'offline', 'enak', 'ngga', 'nya masih', 'culture', 'shock']",negative
2022-05-28 11:27:11+00:00,taengiyeyo,mes | FOKUS PROOF,kuliah offline cape fisik kuliah online cape mentalðŸ‘,"['kuliah', 'offline', 'cape', 'fisik', 'kuliah', 'online', 'cape', 'mental']",positive
2022-05-28 11:26:53+00:00,mufincupcakes,hara,bb ada yang punya tas kayak gini nda sender mau coba buat kuliah offline nantiðŸ˜­ðŸ˜­ cr shop,"['bb', 'tas', 'kayak', 'gin', 'nda', 'sender', 'coba', 'kuliah', 'offline', 'nanti', 'cr', 'shop']",positive
2022-05-28 11:24:32+00:00,aprhoditetear,..?,ðŸ¤ jadi bentar lg sender mau kos krn udh mulai kuliah offline nah kira barang apa aja yang perlu dan ga perlu dibawadipunya,"['', 'bentar', 'lg', 'sender', 'kos', 'krn', 'udh', 'kuliah', 'offline', 'barang', 'aja', 'ga', 'dibawadipunya']",positive
2022-05-28 11:03:14+00:00,Kentutberenang,Balotelli boker,males banget tengah semester di suruh kuliah offline zzz,"['males', 'banget', 'semester', 'suruh', 'kuliah', 'offline', 'zzz']",negative
2022-05-28 11:01:57+00:00,oreooisme,ðŸ§ðŸ¶,cape bgt senin jumat magang trs harus kuliah jg sabtu  ke kampus karna ada urusan yg harus di urus trs dosen mingâ€¦,"['cape', 'bgt', 'senin', 'jumat', 'magang', 'trs', 'kuliah', 'jg', 'sabtu', 'kampus', 'karna', 'urus', 'yg', 'urus', 'trs', 'dosen', 'ming']",negative
2022-05-28 10:52:31+00:00,fadhlan_al10,dhlan,simulasi capenya kuliah offline,"['simulasi', 'cape', 'kuliah', 'offline']",negative
2022-05-28 10:49:24+00:00,pargoylov,leeâœ¨fb please,mau kuliah offline butuh banyak biayaaa plisss betul ini winn,"['kuliah', 'offline', 'butuh', 'biayaaa', 'plisss', 'winn']",negative
2022-05-28 10:46:01+00:00,aerisizeunies,aerisiii,kuliah online pusing kuliah offline takuut ðŸ˜…ðŸ‘‰ðŸ»ðŸ‘ˆðŸ»,"['kuliah', 'online', 'pusing', 'kuliah', 'offline', 'takuut', '']",negative
2022-05-28 09:08:41+00:00,luvminiahn,ran,yeay dh kelar kuliah offline nya,"['yeay', 'dh', 'kelar', 'kuliah', 'offline', 'nya']",negative
2022-05-28 09:02:41+00:00,HMDMathUI,HMDM FMIPA UI,dday cermati   halo warga departemen matematika  waktu yang ditunggutunggu telah tiba cermati episode  suâ€¦,"['dday', 'cermat', 'halo', 'warga', 'departemen', 'matematika', 'ditunggutunggu', 'cermat', 'episode', 'su']",positive
2022-05-28 08:56:31+00:00,thinkinboutlov,daydreamer//follbackyooo!!!,plss laa setidaknya ada satu kerjaan yang nyantol selama liburan semester ini mau nabung banget buat kuliah offliâ€¦,"['plss', 'laa', 'kerja', 'nyantol', 'libur', 'semester', 'nabung', 'banget', 'kuliah', 'offli']",negative
2022-05-28 08:51:45+00:00,convomfs,ðŸ’­,ðŸ’­ mau tanya kuliah itu normalnya pulang jam brp ya kalo offline hehe makasih aku masih smp soalnya,"['', 'kuliah', 'normal', 'pulang', 'jam', 'brp', 'ya', 'kalo', 'offline', 'hehe', 'makasih', 'smp']",positive
2022-05-28 08:39:56+00:00,stis_fess,STIS FESS,kalo kuliah offline tapi gapunya buku pegangan selain buku tulis bakal kesulitan ngga ya soalnya sender sukanya yang digital gitu stat,"['kalo', 'kuliah', 'offline', 'gapunya', 'buku', 'pegang', 'buku', 'tulis', 'sulit', 'ngga', 'ya', 'sender', 'suka', 'digital', 'gitu', 'stat']",negative
2022-05-28 08:39:21+00:00,mootcah,"tirr, joki ketik perasaanmu untuknya à­§â¤âƒðŸ’—",kuflen  kuliah offline mba qil mueheheee,"['kuflen', 'kuliah', 'offline', 'mba', 'qil', 'mueheheee']",positive
2022-05-28 08:39:05+00:00,doyoun6un,cryoun,tau ngga nder aku awal semster  lagi pindah rumah dr ckrng ke krwng gue gk libur kuliah gue tetep masuk offlinâ€¦,"['tau', 'ngga', 'nder', 'semster', 'pindah', 'rumah', 'dr', 'ckrng', 'krwng', 'gue', 'gk', 'libur', 'kuliah', 'gue', 'tetep', 'masuk', 'offlin']",positive
2022-05-28 08:23:21+00:00,XingSsing,NO.66,keinhet bet pas dibandung kemaren tiba bpnya ngabarin dia harus balik ke bekazi karena kuliah offline kita bilamâ€¦,"['keinhet', 'bet', 'pas', 'bandung', 'kemaren', 'bpnya', 'ngabarin', 'bekazi', 'kuliah', 'offline', 'bilam']",negative
2022-05-28 08:22:00+00:00,pantauya,umbiumbian,sempet kepikiran kalo seandainya dah offline kuliah kemana mana mw bawa gunting kali aja ada yg mau jahatin di jaâ€¦,"['sempet', 'pikir', 'kalo', 'anda', 'dah', 'offline', 'kuliah', 'mana', 'mw', 'bawa', 'gunting', 'kali', 'aja', 'yg', 'jahatin', 'ja']",positive
2022-05-28 08:21:39+00:00,ikegapakeH,hi! ike here,kalo kuliah offline jd bahan guyonan wkwkwkwkðŸ˜­ðŸ˜­,"['kalo', 'kuliah', 'offline', 'jd', 'bahan', 'guyon', 'wkwkwkwk']",negative
2022-05-28 08:08:15+00:00,hgyvl,Jian,shopee âœ¨ rekomendasi sweatercardigan untuk kuliahsekolah offline under k di shopee âœ¨  a thread,"['shopee', '', 'rekomendasi', 'sweatercardigan', 'kuliahsekolah', 'offline', 'under', 'k', 'shopee', '', 'a', 'thread']",positive
2022-05-28 07:53:36+00:00,yqbaal,Iqbal,takut banget semester depan kuliah offline selama ini cuma ngangngongngangngong ðŸ«£,"['takut', 'banget', 'semester', 'kuliah', 'offline', 'ngangngongngangngong', '']",negative
